"","0","1","2","3","4","5","6","7","8+"
"2010",4332.21598871855,503.232662781336,356.646477869557,230.452132893027,119.698966037714,94.7590046610161,52.2188296172635,24.3840413025864,17.1515233482581
"2011",2889.93810156557,1159.48465790444,394.731626376013,241.955905257977,129.679044002159,73.1116352758922,59.8425107477965,35.6155222737233,16.231379117872
"2012",4130.04329196433,736.279032410163,304.558466955757,204.976839722717,147.492840229474,82.2054512543908,49.4301445528908,26.3551290879144,22.3029489428478
"2013",8760.92011089337,877.244962464505,488.384255701636,350.323967047866,284.135140765597,127.693966493911,34.5699753415612,24.0166913118725,8.27594669427647
"2014",5027.15154949038,547.723535409857,204.726402141604,237.089865658691,275.876647030114,258.871244417601,173.208906277998,69.943685365525,47.8302195268787
"2015",902.060019008775,454.883166214637,745.789278582601,368.302674990471,205.868847858487,152.502843255124,144.023417663629,58.4695175129045,40.244707353296
"2016",2421.16193087708,478.15209100647,182.570381518782,205.509155620203,69.8898076869717,36.1788036612407,17.4913388489125,0.238775155797942,0
"2017",1302.20725185767,443.974092514862,141.795126755877,132.708710067904,135.6102848575,52.0673069123026,23.8075684908657,3.23933438376191,0
"2018",2555.71926140148,430.957177309625,83.6486825349425,41.9264997240589,21.7605946877756,18.6075875942532,5.23898199508324,0.954008954484737,0.792481125223773
"2019",1780.50534047586,267.276973704447,181.559413500555,58.0778262836261,28.2985949983633,21.148017831564,15.6450742751831,1.55566802052243,0
"2020",1022.6838163355,217.014673617781,84.463781364572,64.4501575345775,27.8144166895208,25.1327974094541,7.51015942299368,3.18698800001359,0.960952388852884
"2021",466.880690407869,191.57321313075,289.654493430016,175.687698438172,108.040699488006,54.4712370831121,15.4626716618787,5.0843911055599,2.11248701609877
"2022",2813.73263669959,143.387640835539,109.795479007061,41.2377173001237,19.9160815909492,9.36773680006988,3.42024995161703,0.892071709419599,0.317934096089505
"2023",1968.62304861015,850.496892042035,157.273171673675,78.2947565434797,55.2747674316839,47.5690195919944,22.3523018468679,18.5589423921276,1.83603089971731
"2024",3756.96265308892,153.174865599641,95.1103164167694,30.775748711595,21.8177732760479,31.5174235965132,9.47381105854233,9.46092950597713,0.288108414630297
