"1" "2" "3" "4" "5"
"2002" 0.21398792202607 0.221063513849738 0.181333492607841 0.168778541192209 0.216302720281664
"2003" 0.225346391938216 0.220490624828703 0.192148969733125 0.203756808021714 0.219213513013061
"2004" 0.249134251594898 0.21381365376732 0.18259344696605 0.190783615361711 0.19321463347008
"2005" 0.206100358176293 0.192887330566218 0.172954929008413 0.170142616328073 0.175554833305398
"2006" 0.211861783673321 0.204785010994998 0.197101703597871 0.186626951808134 0.188486270455861
"2007" 0.211243934017804 0.210023142093669 0.197499592666229 0.185578131933429 0.197975667415001
"2008" 0.229789964208253 0.177006146556669 0.163778347718758 0.179040972453066 0.195482799374432
"2009" 0.204625093542765 0.21242819509463 0.200541554643946 0.211137924413225 0.225971622397552
"2010" 0.219892407288607 0.191409540419575 0.170283331951075 0.168225595592831 0.178389133850043
"2011" 0.207503204924196 0.226559680915967 0.183859205059794 0.178858628825405 0.187190753124384
"2012" 0.203961645170261 0.201788287399556 0.15671657741999 0.163638942008385 0.190443295591237
"2013" 0.212025518881303 0.19921271455565 0.166120138056608 0.158932875712164 0.18490879152808
"2014" 0.219472474604697 0.208384165029117 0.183721456463103 0.184515530720855 0.210518464674396
"2015" 0.236999717476437 0.20330556180729 0.181541962512671 0.205036067971259 0.226048002873472
"2016" 0.214790218366658 0.225187507814335 0.15738204613667 0.158557590041521 0.16955265769475
"2017" 0.219175156435632 0.195487314516074 0.15966120096396 0.159660777857028 0.172893354115989
"2018" 0.219819831096192 0.207556621221049 0.16381219338324 0.168590267484063 0.182444650151665
"2019" 0.219181695108501 0.202756846740726 0.20419710641298 0.19575451856852 0.244079981113281
"2020" 0.238574779752026 0.203765115625826 0.175532406138265 0.164509778780139 0.18076215407731
"2021" 0.208670535255107 0.190715021685839 0.174797865733205 0.169624039061076 0.207249862215106
"2022" 0.198767483426825 0.19300231919056 0.179056915878897 0.228102685535032 0.246160748905504
"2023" 0.206426479527463 0.276432209512472 0.226706382616639 0.27176189021298 0.275285097625222
"2024" 0.188158765957127 0.226424204562411 0.193981650636739 0.219752550740029 0.258685188181808
